,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
276053,MA010120220805864321,티지아이프라이데이롯데캐슬,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100070018,1,대지,7,18.0,서울특별시 송파구 신천동 7-18,117103123023,서울특별시 송파구 올림픽로,269.0,,1171010200100070018026849,롯데캐슬골드,서울특별시 송파구 올림픽로 269,138727,5510,,2,,127.100564812841,37.5143686501931
278388,MA010120220808007490,비이커롯데,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,,,127.100801051691,37.5116492541803
278892,MA010120220812816737,플랙롯데,,G2,소매,G211,가구 소매,G21101,가구 소매업,G47520,가구 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,7,,127.100801051691,37.5116492541803
280819,MA0101202301A0006049,마음을담은꽃집24,,G2,소매,G219,식물 소매,G21901,꽃집,G47851,화초 및 식물 소매업,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100080000,1,대지,8,,서울특별시 송파구 신천동 8,117103123023,서울특별시 송파구 올림픽로,265.0,,1171010200100030000000001,잠실역2호선,서울특별시 송파구 올림픽로 265,138934,5510,,,,127.100650259009,37.5138466873742
281325,MA010120220804238620,이동수패션,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,2,,127.100801051691,37.5116492541803
284699,MA010120220804823839,다크쓰,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,5,,127.100801051691,37.5116492541803
285192,MA010120220803905135,롯데잠실클라이드,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,8,,127.100801051691,37.5116492541803
287382,MA010120220804492203,에스에스팀,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,2,,127.100801051691,37.5116492541803
288548,MA010120220812169044,쿠론롯데잠실,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,3,,127.100801051691,37.5116492541803
288602,MA010120220804293857,한국건강관리협회서울특별시강남지부,,Q1,보건의료,Q102,의원,Q10212,방사선 진단/병리 검사 의원,Q86204,방사선 진단 및 병리 검사 의원,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100070018,1,대지,7,18.0,서울특별시 송파구 신천동 7-18,117103123023,서울특별시 송파구 올림픽로,269.0,,1171010200100070018026849,롯데캐슬골드,서울특별시 송파구 올림픽로 269,138727,5510,,5,,127.100564812841,37.5143686501931
288712,MA010120220814042126,미니멈,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,2,,127.100801051691,37.5116492541803
289091,MA010120220804425661,경궁,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,1,,127.100801051691,37.5116492541803
289920,MA0101202209A0012122,라이크잇likeit,,G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,11,서울특별시,11710,송파구,11710710,잠실6동,1171010200,신천동,1171010200100080000,1,대지,8,,서울특별시 송파구 신천동 8,117103123023,서울특별시 송파구 올림픽로,265.0,,1171010200100030000000001,잠실역2호선,서울특별시 송파구 올림픽로 265,138934,5510,,,,127.100655016038,37.5134502581858
290965,MA010120220804344320,롯데잠실바네사브루노아떼,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,3,,127.100801051691,37.5116492541803
291799,MA010120220804438016,금강롯데,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,1,,127.100801051691,37.5116492541803
291892,MA010120220801931445,크록스롯데,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,7,,127.100801051691,37.5116492541803
292660,MA010120220813689489,더바디샵롯데백화점,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,1,,127.100801051691,37.5116492541803
293984,MA010120220801423049,톰보이,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,2,,127.100801051691,37.5116492541803
294829,MA010120220800345293,롯데잠실닥스숙녀,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,,,127.100801051691,37.5116492541803
295442,MA010120220807929250,아이잗컬렉션롯데잠실,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,2,,127.100801051691,37.5116492541803
295886,MA010120220804816429,피와이알옴므,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,11,서울특별시,11710,송파구,11710680,잠실3동,1171010100,잠실동,1171010100100400001,1,대지,40,1.0,서울특별시 송파구 잠실동 40-1,117102005011,서울특별시 송파구 송파대로,521.0,,1171010100100400001000439,,서울특별시 송파구 송파대로 521,138721,5554,,5,,127.100801051691,37.5116492541803
