,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
297647,MA010120220809927243,빛남맨즈헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103470018,1,대지,347,18.0,서울특별시 마포구 서교동 347-18,114404139464,서울특별시 마포구 와우산로27길,70.0,,1144012000103470018026923,,서울특별시 마포구 와우산로27길 70,121837,4053,,3,,126.924981525104,37.5555383955097
297697,MA0101202311A0026245,노브필라테스,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101550016,1,대지,155,16.0,서울특별시 마포구 동교동 155-16,114404139425,서울특별시 마포구 양화로19길,2.0,,1144012100101550016023688,,서울특별시 마포구 양화로19길 2,121816,3994,,3,,126.92466430652,37.5579232598337
298091,MA010120220800253460,신건흥씨앤엘,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101630014,1,대지,163,14.0,서울특별시 마포구 동교동 163-14,114403113015,서울특별시 마포구 어울마당로,117.0,1.0,1144012100101630014011766,,서울특별시 마포구 어울마당로 117-1,121817,4050,,1,,126.923297846445,37.5553518558033
298319,MA010120220807995214,육회왕자&연어공주,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101640033,1,대지,164,33.0,서울특별시 마포구 동교동 164-33,114403113015,서울특별시 마포구 어울마당로,133.0,,1144012100101640033027132,,서울특별시 마포구 어울마당로 133,121817,4050,,2,,126.924643121872,37.556247134616
298440,MA010120220808626647,은뷰티,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,1,,126.923434201278,37.5561009615472
298809,MA010120220800178190,신흥이용원,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96111,이용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102010006,1,대지,201,6.0,서울특별시 마포구 동교동 201-6,114403112014,서울특별시 마포구 동교로,187.0,,1144012100102010006027168,,서울특별시 마포구 동교로 187,121819,3992,,,,126.921969729114,37.5571958764486
299025,MA0106202301A2196128,올리브영홍대타운,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,,,126.923434201278,37.5561009615472
300211,MA010120220809638624,은하기획,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100102000029,1,대지,200,29.0,서울특별시 마포구 동교동 200-29,114403112014,서울특별시 마포구 동교로,193.0,,1144012100102000029022034,동진빌딩,서울특별시 마포구 동교로 193,121819,3993,,7,,126.922517238605,37.5576874352908
300342,MA010120220807136234,에이블,,N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업,N75992,"전시, 컨벤션 및 행사 대행업",11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101590005,1,대지,159,5.0,서울특별시 마포구 동교동 159-5,114403113014,서울특별시 마포구 양화로,161.0,,1144012100101590005011731,케이스퀘어,서울특별시 마포구 양화로 161,121898,3995,,8,,126.923297793953,37.5569286733792
301384,MA010120220811735454,챨스바버,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650001,1,대지,165,1.0,서울특별시 마포구 동교동 165-1,114403113014,서울특별시 마포구 양화로,166.0,,1144012100101650001011783,미래프라자,서울특별시 마포구 양화로 166,121753,4050,,1,,126.924149388428,37.5567382079753
302173,MA010120220800186552,황승연법무사사무소,,M1,과학·기술,M103,법무관련 ,M10303,법무사,M71103,법무사업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,9,,126.923434201278,37.5561009615472
302393,MA010120220814199981,알엑스퍼트홍대,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650004,1,대지,165,4.0,서울특별시 마포구 동교동 165-4,114403113014,서울특별시 마포구 양화로,164.0,,1144012100101650004011786,유림빌딩,서울특별시 마포구 양화로 164,121817,4050,,7,,126.924039202259,37.5565299649245
304947,MA010120220803680443,현장종합관리,,N1,시설관리·임대,N104,고용 알선,N10403,상용 인력 공급 및 인사관리 서비스업,N75122,상용 인력 공급 및 인사관리 서비스업,11,서울특별시,11440,마포구,11440660,서교동,1144012100,동교동,1144012100101650008,1,대지,165,8.0,서울특별시 마포구 동교동 165-8,114403113014,서울특별시 마포구 양화로,156.0,,1144012100101650008027133,LG팰리스빌딩,서울특별시 마포구 양화로 156,121754,4050,,,,126.923434201278,37.5561009615472
